EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1575664836.418771,330026.000,57387,3,GX,1,100,-2.899
1575664836.460316,330061.000,57387,3,GX,1,100,-1.434
1575664836.501861,330096.000,57387,3,GX,1,100,-1.740
1575664836.542615,330130.333,57404,3,GX,1,100,1.221
1575664836.583369,330164.667,57404,3,GX,1,100,0.916
1575664836.624123,330199.000,57404,3,GX,1,100,0.671
1575664836.664877,330233.333,57422,3,GX,1,100,0.824
1575664836.705631,330267.667,57422,3,GX,1,100,-1.007
1575664836.746386,330302.000,57422,3,GX,1,100,0.275
1575664836.784370,330334.000,57441,3,GX,1,100,1.099
1575664836.822354,330366.000,57441,3,GX,1,100,-0.702
1575664836.860338,330398.000,57441,3,GX,1,100,-0.854
1575664836.902675,330433.667,57457,3,GX,1,100,-1.617
1575664836.945012,330469.333,57457,3,GX,1,100,0.946
1575664836.987349,330505.000,57457,3,GX,1,100,0.946
1575664837.028103,330539.333,57475,3,GX,1,100,-0.183
1575664837.068856,330573.667,57475,3,GX,1,100,0.732
1575664837.109611,330608.000,57475,3,GX,1,100,0.916
1575664837.151156,330643.000,57493,2,GX,1,100,-0.031
1575664837.192701,330678.000,57493,2,GX,1,100,0.610
1575664837.233851,330712.667,57511,3,GX,1,100,-1.129
1575664837.275001,330747.333,57511,3,GX,1,100,-0.885
1575664837.316150,330782.000,57511,3,GX,1,100,0.854
1575664837.353838,330813.750,57529,4,GX,1,100,0.397
1575664837.391526,330845.500,57529,4,GX,1,100,-0.580
1575664837.429213,330877.250,57529,4,GX,1,100,0.763
1575664837.466901,330909.000,57529,4,GX,1,100,0.763
1575664837.505478,330941.500,57547,2,GX,1,100,-1.007
1575664837.544056,330974.000,57547,2,GX,1,100,-0.488
1575664837.583228,331007.000,57565,4,GX,1,100,-0.244
1575664837.622399,331040.000,57565,4,GX,1,100,0.488
1575664837.661570,331073.000,57565,4,GX,1,100,1.160
1575664837.700742,331106.000,57565,4,GX,1,100,1.251
1575664837.741496,331140.333,57584,3,GX,1,100,0.610
1575664837.782250,331174.667,57584,3,GX,1,100,-0.488
1575664837.823004,331209.000,57584,3,GX,1,100,-1.373
1575664837.861582,331241.500,57605,4,GX,1,100,0.183
1575664837.900159,331274.000,57605,4,GX,1,100,3.510
1575664837.938737,331306.500,57605,4,GX,1,100,1.373
1575664837.977315,331339.000,57605,4,GX,1,100,-1.068
1575664838.021630,331376.333,57623,3,GX,1,100,0.946
1575664838.065945,331413.667,57623,3,GX,1,100,-0.336
1575664838.110260,331451.000,57623,3,GX,1,100,0.580
1575664838.148640,331483.333,57643,3,GX,1,100,-0.671
1575664838.187020,331515.667,57643,3,GX,1,100,-1.282
1575664838.225400,331548.000,57643,3,GX,1,100,1.068
1575664838.269715,331585.333,57661,3,GX,1,100,-0.092
1575664838.314030,331622.667,57661,3,GX,1,100,0.153
