EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T0
1575664930.234121,409061.000,4427,1,T0,1,100,25.630
1575664930.367066,409173.000,4445,1,T0,1,100,25.619
1575664930.507133,409291.000,4462,1,T0,1,100,25.625
1575664930.636517,409400.000,4496,1,T0,1,100,25.678
1575664930.761153,409505.000,4515,1,T0,1,100,25.652
1575664930.896472,409619.000,4533,1,T0,1,100,25.668
1575664931.035353,409736.000,4551,1,T0,1,100,25.614
1575664931.170672,409850.000,4569,1,T0,1,100,25.636
1575664931.295308,409955.000,4587,1,T0,1,100,25.652
1575664931.424692,410064.000,4605,1,T0,1,100,25.625
1575664931.560011,410178.000,4623,1,T0,1,100,25.619
1575664931.697704,410294.000,4640,1,T0,1,100,25.625
1575664931.833024,410408.000,4675,1,T0,1,100,25.673
1575664931.971904,410525.000,4693,1,T0,1,100,25.657
1575664932.100101,410633.000,4711,1,T0,1,100,25.614
1575664932.233046,410745.000,4729,1,T0,1,100,25.673
1575664932.360056,410852.000,4747,1,T0,1,100,25.630
1575664932.493001,410964.000,4765,1,T0,1,100,25.678
1575664932.624759,411075.000,4783,1,T0,1,100,25.603
1575664932.749395,411180.000,4801,1,T0,1,100,25.657
1575664932.882341,411292.000,4820,1,T0,1,100,25.630
1575664933.020034,411408.000,4837,1,T0,1,100,25.652
1575664933.152979,411520.000,4871,1,T0,1,100,25.662
1575664933.291859,411637.000,4889,1,T0,1,100,25.603
1575664933.430739,411754.000,4907,1,T0,1,100,25.652
1575664933.555375,411859.000,4925,1,T0,1,100,25.668
1575664933.685946,411969.000,4943,1,T0,1,100,25.657
1575664933.822453,412084.000,4962,1,T0,1,100,25.657
1575664933.955398,412196.000,4980,1,T0,1,100,25.673
1575664934.091904,412311.000,4997,1,T0,1,100,25.630
1575664934.218914,412418.000,5015,1,T0,1,100,25.668
1575664934.348298,412527.000,5033,1,T0,1,100,25.641
1575664934.483617,412641.000,5067,1,T0,1,100,25.668
1575664934.624871,412760.000,5085,1,T0,1,100,25.668
1575664934.754256,412869.000,5103,1,T0,1,100,25.678
1575664934.880079,412975.000,5122,1,T0,1,100,25.668
1575664935.016585,413090.000,5140,1,T0,1,100,25.641
1575664935.151904,413204.000,5158,1,T0,1,100,25.673
1575664935.289597,413320.000,5179,1,T0,1,100,25.646
1575664935.414233,413425.000,5199,1,T0,1,100,25.689
1575664935.538869,413530.000,5217,1,T0,1,100,25.657
1575664935.674189,413644.000,5235,1,T0,1,100,25.657
1575664935.804760,413754.000,5254,1,T0,1,100,25.678
1575664935.941266,413869.000,5272,1,T0,1,100,25.668
1575664936.083707,413989.000,5289,1,T0,1,100,25.625
1575664936.222587,414106.000,5323,1,T0,1,100,25.668
1575664936.359093,414221.000,5341,1,T0,1,100,25.668
1575664936.501535,414341.000,5359,1,T0,1,100,25.657
1575664936.639228,414457.000,5377,1,T0,1,100,25.641
1575664936.775734,414572.000,5395,1,T0,1,100,25.662
1575664936.912240,414687.000,5414,1,T0,1,100,25.673
1575664937.043998,414798.000,5431,1,T0,1,100,25.652
1575664937.167447,414902.000,5449,1,T0,1,100,25.695
1575664937.303953,415017.000,5483,1,T0,1,100,25.684
1575664937.440460,415132.000,5501,1,T0,1,100,25.678
1575664937.578153,415248.000,5519,1,T0,1,100,25.673
1575664937.706350,415356.000,5537,1,T0,1,100,25.695
1575664937.835734,415465.000,5556,1,T0,1,100,25.668
1575664937.965118,415574.000,5574,1,T0,1,100,25.743
1575664938.101624,415689.000,5592,1,T0,1,100,25.662
1575664938.239317,415805.000,5609,1,T0,1,100,25.700
1575664938.363954,415910.000,5627,1,T0,1,100,25.668
1575664938.494525,416020.000,5645,1,T0,1,100,25.689
1575664938.633405,416137.000,5679,1,T0,1,100,25.705
1575664938.769911,416252.000,5698,1,T0,1,100,25.684
1575664938.901669,416363.000,5716,1,T0,1,100,25.716
1575664939.028679,416470.000,5734,1,T0,1,100,25.705
1575664939.159250,416580.000,5752,1,T0,1,100,25.684
1575664939.298131,416697.000,5770,1,T0,1,100,25.668
1575664939.439385,416816.000,5787,1,T0,1,100,25.689
1575664939.577078,416932.000,5821,1,T0,1,100,25.695
1575664939.712397,417046.000,5839,1,T0,1,100,25.684
1575664939.840594,417154.000,5858,1,T0,1,100,25.646
1575664939.968791,417262.000,5876,1,T0,1,100,25.716
1575664940.101737,417374.000,5894,1,T0,1,100,25.668
1575664940.229934,417482.000,5912,1,T0,1,100,25.657
1575664940.358131,417590.000,5930,1,T0,1,100,25.695
1575664940.487515,417699.000,5948,1,T0,1,100,25.678
1575664940.622834,417813.000,5966,1,T0,1,100,25.716
1575664940.751031,417921.000,5983,1,T0,1,100,25.716
1575664940.888724,418037.000,6002,1,T0,1,100,25.678
1575664941.026417,418153.000,6036,1,T0,1,100,25.668
1575664941.158175,418264.000,6054,1,T0,1,100,25.716
1575664941.288747,418374.000,6075,2,T0,1,100,25.689
1575664941.419318,418484.000,6075,2,T0,1,100,25.657
1575664941.552263,418596.000,6095,1,T0,1,100,25.695
1575664941.691143,418713.000,6129,1,T0,1,100,25.673
1575664941.820527,418822.000,6148,1,T0,1,100,25.711
1575664941.946350,418928.000,6166,1,T0,1,100,25.700
1575664942.081670,419042.000,6184,1,T0,1,100,25.721
1575664942.221737,419160.000,6202,1,T0,1,100,25.695
1575664942.358243,419275.000,6220,1,T0,1,100,25.705
1575664942.482879,419380.000,6238,1,T0,1,100,25.695
1575664942.613450,419490.000,6256,1,T0,1,100,25.673
1575664942.748769,419604.000,6273,1,T0,1,100,25.684
1575664942.886462,419720.000,6308,1,T0,1,100,25.721
1575664943.019408,419832.000,6326,1,T0,1,100,25.737
1575664943.142857,419936.000,6344,1,T0,1,100,25.711
1575664943.276989,420049.000,6362,1,T0,1,100,25.695
1575664943.406373,420158.000,6380,1,T0,1,100,25.721
1575664943.540505,420271.000,6398,1,T0,1,100,25.705
1575664943.682946,420391.000,6416,1,T0,1,100,25.737
1575664943.821826,420508.000,6435,1,T0,1,100,25.700
1575664943.955959,420621.000,6452,1,T0,1,100,25.721
1575664944.098400,420741.000,6486,1,T0,1,100,25.716
1575664944.236093,420857.000,6504,1,T0,1,100,25.700
1575664944.371412,420971.000,6522,1,T0,1,100,25.668
1575664944.504357,421083.000,6540,1,T0,1,100,25.705
1575664944.632554,421191.000,6558,1,T0,1,100,25.684
1575664944.759564,421298.000,6576,1,T0,1,100,25.695
1575664944.890136,421408.000,6595,1,T0,1,100,25.705
1575664945.025455,421522.000,6612,1,T0,1,100,25.700
1575664945.159587,421635.000,6646,1,T0,1,100,25.759
1575664945.296093,421750.000,6664,1,T0,1,100,25.711
1575664945.423103,421857.000,6682,1,T0,1,100,25.700
1575664945.547739,421962.000,6700,1,T0,1,100,25.695
1575664945.685432,422078.000,6718,1,T0,1,100,25.732
1575664945.826687,422197.000,6737,1,T0,1,100,25.689
1575664945.956071,422306.000,6755,1,T0,1,100,25.711
1575664946.081894,422412.000,6773,1,T0,1,100,25.705
1575664946.218400,422527.000,6790,1,T0,1,100,25.748
1575664946.354906,422642.000,6808,1,T0,1,100,25.695
1575664946.492599,422758.000,6842,1,T0,1,100,25.721
1575664946.618423,422864.000,6860,1,T0,1,100,25.700
1575664946.743058,422969.000,6879,1,T0,1,100,25.770
1575664946.881939,423086.000,6897,1,T0,1,100,25.743
1575664947.020819,423203.000,6915,1,T0,1,100,25.732
1575664947.157325,423318.000,6933,1,T0,1,100,25.727
1575664947.296205,423435.000,6951,1,T0,1,100,25.727
1575664947.424402,423543.000,6971,1,T0,1,100,25.737
1575664947.559721,423657.000,6991,1,T0,1,100,25.727
1575664947.695041,423771.000,7009,1,T0,1,100,25.721
1575664947.824425,423880.000,7028,1,T0,1,100,25.748
1575664947.962118,423996.000,7046,1,T0,1,100,25.695
1575664948.089128,424103.000,7063,1,T0,1,100,25.700
1575664948.222073,424215.000,7097,1,T0,1,100,25.716
1575664948.347896,424321.000,7115,1,T0,1,100,25.711
1575664948.484402,424436.000,7133,1,T0,1,100,25.748
1575664948.620909,424551.000,7151,1,T0,1,100,25.695
1575664948.759789,424668.000,7169,1,T0,1,100,25.732
1575664948.887986,424776.000,7188,1,T0,1,100,25.689
1575664949.017370,424885.000,7206,1,T0,1,100,25.727
1575664949.146754,424994.000,7224,1,T0,1,100,25.727
1575664949.283260,425109.000,7241,1,T0,1,100,25.732
1575664949.419766,425224.000,7259,1,T0,1,100,25.721
1575664949.544403,425329.000,7293,1,T0,1,100,25.770
1575664949.673787,425438.000,7311,1,T0,1,100,25.727
1575664949.812667,425555.000,7330,1,T0,1,100,25.727
1575664949.949173,425670.000,7348,1,T0,1,100,25.705
1575664950.080931,425781.000,7366,1,T0,1,100,25.716
1575664950.209128,425889.000,7384,1,T0,1,100,25.737
1575664950.339699,425999.000,7402,1,T0,1,100,25.759
1575664950.478580,426116.000,7420,1,T0,1,100,25.711
1575664950.617460,426233.000,7437,1,T0,1,100,25.727
1575664950.742096,426338.000,7473,1,T0,1,100,25.743
1575664950.873854,426449.000,7490,1,T0,1,100,25.754
1575664951.002051,426557.000,7508,1,T0,1,100,25.695
1575664951.129061,426664.000,7526,1,T0,1,100,25.748
1575664951.262006,426776.000,7544,1,T0,1,100,25.727
1575664951.385455,426880.000,7562,1,T0,1,100,25.786
1575664951.518400,426992.000,7580,1,T0,1,100,25.748
1575664951.658468,427110.000,7598,1,T0,1,100,25.727
1575664951.792600,427223.000,7617,1,T0,1,100,25.775
1575664951.925545,427335.000,7634,1,T0,1,100,25.732
1575664952.067986,427455.000,7668,1,T0,1,100,25.786
1575664952.205679,427571.000,7686,1,T0,1,100,25.780
1575664952.337438,427682.000,7704,1,T0,1,100,25.754
1575664952.464447,427789.000,7722,1,T0,1,100,25.743
1575664952.596206,427900.000,7740,1,T0,1,100,25.764
1575664952.730338,428013.000,7758,1,T0,1,100,25.780
1575664952.870405,428131.000,7777,1,T0,1,100,25.796
1575664952.999789,428240.000,7794,1,T0,1,100,25.770
1575664953.122051,428343.000,7812,1,T0,1,100,25.791
1575664953.259744,428459.000,7846,1,T0,1,100,25.711
1575664953.398031,428575.500,7867,2,T0,1,100,25.743
1575664953.536318,428692.000,7867,2,T0,1,100,25.786
1575664953.660954,428797.000,7887,1,T0,1,100,25.732
1575664953.791525,428907.000,7905,1,T0,1,100,25.732
1575664953.926844,429021.000,7923,1,T0,1,100,25.780
1575664954.064537,429137.000,7957,1,T0,1,100,25.786
1575664954.197483,429249.000,7975,1,T0,1,100,25.775
1575664954.320931,429353.000,7993,1,T0,1,100,25.748
1575664954.457438,429468.000,8011,1,T0,1,100,25.786
1575664954.595131,429584.000,8029,1,T0,1,100,25.802
1575664954.729263,429697.000,8047,1,T0,1,100,25.754
1575664954.870517,429816.000,8066,1,T0,1,100,25.732
1575664955.009398,429933.000,8099,1,T0,1,100,25.737
1575664955.143530,430046.000,8117,1,T0,1,100,25.732
1575664955.285971,430166.000,8135,1,T0,1,100,25.748
1575664955.423664,430282.000,8153,1,T0,1,100,25.759
