EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1576779461.686795,342399.000,59547,1,TL,1,100,2019-12-19_14-17-41-864108
1576779461.881355,342563.000,59568,1,TL,1,100,2019-12-19_14-17-42-022734
1576779467.747816,347508.000,60442,1,TL,1,100,2019-12-19_14-17-47-913775
1576779467.943563,347673.000,60462,1,TL,1,100,2019-12-19_14-17-48-074391
1576779473.806465,352615.000,61337,1,TL,1,100,2019-12-19_14-17-53-964350
1576779473.993907,352773.000,61357,1,TL,1,100,2019-12-19_14-17-54-122115
1576779479.867486,357724.000,62233,1,TL,1,100,2019-12-19_14-18-00-031679
1576779480.065605,357891.000,62253,1,TL,1,100,2019-12-19_14-18-00-196348
1576779485.928507,362833.000,63129,1,TL,1,100,2019-12-19_14-18-06-091326
1576779486.124253,362998.000,63149,1,TL,1,100,2019-12-19_14-18-06-264705
1576779491.985969,367939.000,64025,1,TL,1,100,2019-12-19_14-18-12-134151
1576779492.187647,368109.000,64045,1,TL,1,100,2019-12-19_14-18-12-297865
1576779498.046990,373048.000,64921,1,TL,1,100,2019-12-19_14-18-18-195005
1576779498.255786,373224.000,64941,1,TL,1,100,2019-12-19_14-18-18-404231
1576779504.108011,378157.000,281,1,TL,1,100,2019-12-19_14-18-24-265195
1576779504.522045,378506.000,335,1,TL,1,100,2019-12-19_14-18-24-623014
1576779510.248518,383333.000,1177,1,TL,1,100,2019-12-19_14-18-30-390089
1576779510.580693,383613.000,1232,1,TL,1,100,2019-12-19_14-18-30-469019
1576779516.247849,388390.000,2073,1,TL,1,100,2019-12-19_14-18-36-369691
1576779516.520707,388620.000,2111,1,TL,1,100,2019-12-19_14-18-36-626659
1576779522.286330,393480.000,2969,1,TL,1,100,2019-12-19_14-18-42-401610
1576779522.579356,393727.000,3007,1,TL,1,100,2019-12-19_14-18-42-674534
1576779528.346164,398588.000,3865,1,TL,1,100,2019-12-19_14-18-48-459973
1576779528.668849,398860.000,3903,1,TL,1,100,2019-12-19_14-18-48-791478
1576779534.626659,403882.000,4779,1,TL,1,100,2019-12-19_14-18-54-712730
