EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1574713005.993722,131687.000,22580,1,B%,1,100,14
1574713007.001826,132535.000,22740,1,B%,1,100,15
1574713007.999231,133374.000,22884,1,B%,1,100,15
1574713008.995446,134212.000,23027,1,B%,1,100,14
1574713009.999984,135057.000,23187,1,B%,1,100,15
1574713010.987878,135888.000,23329,1,B%,1,100,15
1574713011.991227,136732.000,23478,1,B%,1,100,14
1574713012.986254,137569.000,23620,1,B%,1,100,15
1574713013.981281,138406.000,23762,1,B%,1,100,14
1574713014.984630,139250.000,23922,1,B%,1,100,14
1574713015.977279,140085.000,24066,1,B%,1,100,14
1574713016.983005,140931.000,24209,1,B%,1,100,15
1574713017.976844,141767.000,24354,1,B%,1,100,15
1574713018.974248,142606.000,24499,1,B%,1,100,15
1574713019.975219,143448.000,24659,1,B%,1,100,14
1574713020.961925,144278.000,24801,1,B%,1,100,14
1574713021.959330,145117.000,24943,1,B%,1,100,14
1574713022.955545,145955.000,25087,1,B%,1,100,14
1574713023.967216,146806.000,25251,1,B%,1,100,14
1574713024.975320,147654.000,25395,1,B%,1,100,14
1574713025.959647,148482.000,25539,1,B%,1,100,14
1574713026.964185,149327.000,25682,1,B%,1,100,14
1574713027.956834,150162.000,25842,1,B%,1,100,14
1574713028.969693,151014.000,25984,1,B%,1,100,14
1574713029.961154,151848.000,26126,1,B%,1,100,14
1574713030.960936,152689.000,26273,1,B%,1,100,15
1574713031.983306,153549.000,26433,1,B%,1,100,14
1574713032.978333,154386.000,26575,1,B%,1,100,14
1574713033.975738,155225.000,26719,1,B%,1,100,15
1574713034.981464,156071.000,26879,1,B%,1,100,14
1574713035.978868,156910.000,27022,1,B%,1,100,14
1574713036.971518,157745.000,27153,1,B%,1,100,14
1574713037.984377,158597.000,27313,1,B%,1,100,14
1574713038.975838,159431.000,27456,1,B%,1,100,14
1574713039.982753,160278.000,27616,1,B%,1,100,14
1574713040.970647,161109.000,27758,1,B%,1,100,14
1574713041.973996,161953.000,27900,1,B%,1,100,14
1574713042.969023,162790.000,28047,1,B%,1,100,14
1574713043.977127,163638.000,28189,1,B%,1,100,14
1574713044.974531,164477.000,28349,1,B%,1,100,14
1574713045.979069,165322.000,28493,1,B%,1,100,14
1574713046.980040,166164.000,28636,1,B%,1,100,14
1574713047.981011,167006.000,28796,1,B%,1,100,13
1574713048.990304,167855.000,28927,1,B%,1,100,14
1574713049.986519,168693.000,29088,1,B%,1,100,14
1574713050.986302,169534.000,29230,1,B%,1,100,14
1574713051.992028,170380.000,29372,1,B%,1,100,14
1574713052.992999,171222.000,29532,1,B%,1,100,14
1574713053.984460,172056.000,29676,1,B%,1,100,14
1574713054.983053,172896.000,29821,1,B%,1,100,12
1574713055.980458,173735.000,29965,1,B%,1,100,14
1574713056.982618,174578.000,30107,1,B%,1,100,14
1574713057.971701,175410.000,30268,1,B%,1,100,14
1574713058.988126,176265.000,30410,1,B%,1,100,14
1574713059.996230,177113.000,30570,1,B%,1,100,14
1574713060.991257,177950.000,30702,1,B%,1,100,14
1574713062.000550,178799.000,30862,1,B%,1,100,14
1574713062.989633,179631.000,31004,1,B%,1,100,14
1574713063.985849,180469.000,31146,1,B%,1,100,13
1574713064.984442,181309.000,31290,1,B%,1,100,14
1574713065.996112,182160.000,31450,1,B%,1,100,14
1574713066.998272,183003.000,31595,1,B%,1,100,13
1574713067.998055,183844.000,31739,1,B%,1,100,14
1574713068.984760,184674.000,31882,1,B%,1,100,14
1574713069.973843,185506.000,32024,1,B%,1,100,14
1574713070.984324,186356.000,32184,1,B%,1,100,14
1574713071.972219,187187.000,32326,1,B%,1,100,14
1574713072.973190,188029.000,32474,1,B%,1,100,14
1574713073.982482,188878.000,32616,1,B%,1,100,14
