EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1574714559.771079,174881.000,30168,3,PI,1,100,193084
1574714559.811525,174915.000,30168,3,PI,1,100,193081
1574714559.852368,174949.333,30186,3,PI,1,100,192901
1574714559.893211,174983.667,30186,3,PI,1,100,192618
1574714559.934055,175018.000,30186,3,PI,1,100,192599
1574714559.974105,175051.667,30204,3,PI,1,100,192633
1574714560.014155,175085.333,30204,3,PI,1,100,192761
1574714560.054205,175119.000,30204,3,PI,1,100,193079
1574714560.090686,175149.667,30222,3,PI,1,100,193755
1574714560.127167,175180.333,30222,3,PI,1,100,194073
1574714560.163649,175211.000,30222,3,PI,1,100,193970
1574714560.204095,175245.000,30240,3,PI,1,100,193849
1574714560.244542,175279.000,30240,3,PI,1,100,193652
1574714560.284988,175313.000,30240,3,PI,1,100,193415
1574714560.325435,175347.000,30258,3,PI,1,100,193291
1574714560.365882,175381.000,30258,3,PI,1,100,193245
1574714560.406328,175415.000,30258,3,PI,1,100,193267
1574714560.451533,175453.000,30277,3,PI,1,100,193226
1574714560.496738,175491.000,30277,3,PI,1,100,193191
1574714560.541944,175529.000,30277,3,PI,1,100,193110
1574714560.582390,175563.000,30294,3,PI,1,100,192651
1574714560.622837,175597.000,30294,3,PI,1,100,192011
1574714560.663283,175631.000,30294,3,PI,1,100,191670
1574714560.701747,175663.333,30312,3,PI,1,100,191608
1574714560.740211,175695.667,30312,3,PI,1,100,191658
1574714560.778675,175728.000,30312,3,PI,1,100,191672
1574714560.819122,175762.000,30328,3,PI,1,100,191820
1574714560.859568,175796.000,30328,3,PI,1,100,191919
1574714560.900015,175830.000,30328,3,PI,1,100,191935
1574714560.942048,175865.333,30346,3,PI,1,100,191970
1574714560.984081,175900.667,30346,3,PI,1,100,192031
1574714561.026113,175936.000,30346,3,PI,1,100,192067
1574714561.061801,175966.000,30364,3,PI,1,100,192092
1574714561.097490,175996.000,30364,3,PI,1,100,192056
1574714561.133178,176026.000,30364,3,PI,1,100,192074
1574714561.171642,176058.333,30382,3,PI,1,100,192115
1574714561.210106,176090.667,30382,3,PI,1,100,192152
1574714561.248570,176123.000,30382,3,PI,1,100,192211
1574714561.287827,176156.000,30400,3,PI,1,100,192280
1574714561.327084,176189.000,30400,3,PI,1,100,192367
1574714561.366341,176222.000,30400,3,PI,1,100,192485
1574714561.407580,176256.667,30419,3,PI,1,100,192563
1574714561.448820,176291.333,30419,3,PI,1,100,192343
1574714561.490060,176326.000,30419,3,PI,1,100,191900
1574714561.531299,176360.667,30437,3,PI,1,100,191670
1574714561.572539,176395.333,30437,3,PI,1,100,191551
1574714561.613779,176430.000,30437,3,PI,1,100,191402
1574714561.653274,176463.200,30458,5,PI,1,100,191312
1574714561.692769,176496.400,30458,5,PI,1,100,191333
1574714561.732264,176529.600,30458,5,PI,1,100,191338
1574714561.771759,176562.800,30458,5,PI,1,100,191244
1574714561.811254,176596.000,30458,5,PI,1,100,191213
1574714561.849717,176628.333,30478,3,PI,1,100,191264
1574714561.888181,176660.667,30478,3,PI,1,100,191365
1574714561.926645,176693.000,30478,3,PI,1,100,191409
1574714561.967092,176727.000,30496,3,PI,1,100,191437
1574714562.007539,176761.000,30496,3,PI,1,100,191474
1574714562.047985,176795.000,30496,3,PI,1,100,191512
1574714562.088828,176829.333,30514,3,PI,1,100,191583
1574714562.129672,176863.667,30514,3,PI,1,100,191689
1574714562.170515,176898.000,30514,3,PI,1,100,191785
1574714562.212547,176933.333,30532,3,PI,1,100,191879
1574714562.254580,176968.667,30532,3,PI,1,100,191936
1574714562.296613,177004.000,30532,3,PI,1,100,191673
1574714562.334284,177035.667,30550,3,PI,1,100,191292
1574714562.371955,177067.333,30550,3,PI,1,100,191088
1574714562.409626,177099.000,30550,3,PI,1,100,191003
1574714562.448486,177131.667,30569,3,PI,1,100,190825
1574714562.487346,177164.333,30569,3,PI,1,100,190655
1574714562.526207,177197.000,30569,3,PI,1,100,190627
1574714562.570222,177234.000,30586,3,PI,1,100,190601
1574714562.614238,177271.000,30586,3,PI,1,100,190547
1574714562.658253,177308.000,30586,3,PI,1,100,190474
1574714562.699096,177342.333,30604,3,PI,1,100,190382
1574714562.739940,177376.667,30604,3,PI,1,100,190323
1574714562.780783,177411.000,30604,3,PI,1,100,190382
1574714562.822419,177446.000,30620,2,PI,1,100,190441
1574714562.864055,177481.000,30620,2,PI,1,100,190508
1574714562.903312,177514.000,30638,4,PI,1,100,190728
1574714562.942569,177547.000,30638,4,PI,1,100,190870
1574714562.981826,177580.000,30638,4,PI,1,100,191035
1574714563.021083,177613.000,30638,4,PI,1,100,191184
