EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1574868340.409046,665442.000,51652,2,RD,1,100,TL
1574868343.446209,667996.000,51652,2,RD,1,100,TU
1574868346.483373,670550.000,52547,2,RD,1,100,TL
1574868349.520536,673104.000,52547,2,RD,1,100,TU
1574868352.557700,675658.000,53443,2,RD,1,100,TL
1574868355.594863,678212.000,53443,2,RD,1,100,TU
1574868358.632026,680766.000,54341,2,RD,1,100,TL
1574868361.669190,683320.000,54341,2,RD,1,100,TU
1574868364.706353,685874.000,55237,2,RD,1,100,TL
1574868367.743517,688428.000,55237,2,RD,1,100,TU
1574868370.780680,690982.000,56133,2,RD,1,100,TL
1574868373.817844,693536.000,56133,2,RD,1,100,TU
1574868376.855007,696090.000,57030,2,RD,1,100,TL
1574868379.892171,698644.000,57030,2,RD,1,100,TU
1574868382.929334,701198.000,57926,2,RD,1,100,TL
1574868385.966498,703752.000,57926,2,RD,1,100,TU
1574868389.003661,706306.000,58822,2,RD,1,100,TL
1574868392.040825,708860.000,58822,2,RD,1,100,TU
1574868395.077988,711414.000,59718,2,RD,1,100,TL
1574868398.115151,713968.000,59718,2,RD,1,100,TU
1574868401.152315,716522.000,60614,2,RD,1,100,TL
1574868404.189478,719076.000,60614,2,RD,1,100,TU
1574868407.226642,721630.000,61512,2,RD,1,100,TL
1574868410.263805,724184.000,61512,2,RD,1,100,TU
1574868413.300969,726738.000,62408,2,RD,1,100,TL
1574868416.338132,729292.000,62408,2,RD,1,100,TU
1574868419.375296,731846.000,63304,2,RD,1,100,TL
1574868422.412459,734400.000,63304,2,RD,1,100,TU
1574868425.449623,736954.000,64200,2,RD,1,100,TL
1574868428.486786,739508.000,64200,2,RD,1,100,TU
1574868431.523950,742062.000,65096,2,RD,1,100,TL
1574868434.561113,744616.000,65096,2,RD,1,100,TU
1574868437.598276,747170.000,459,2,RD,1,100,TL
1574868440.635440,749724.000,459,2,RD,1,100,TU
1574868443.672603,752278.000,1355,2,RD,1,100,TL
1574868446.709767,754832.000,1355,2,RD,1,100,TU
1574868449.746930,757386.000,2252,2,RD,1,100,TL
1574868452.784094,759940.000,2252,2,RD,1,100,TU
1574868455.821257,762494.000,3148,2,RD,1,100,TL
1574868458.858421,765048.000,3148,2,RD,1,100,TU
1574868461.895584,767602.000,4044,2,RD,1,100,TL
1574868464.932748,770156.000,4044,2,RD,1,100,TU
1574868467.969911,772710.000,4940,2,RD,1,100,TL
1574868471.007075,775264.000,4940,2,RD,1,100,TU
1574868474.044238,777818.000,5836,2,RD,1,100,TL
1574868477.081401,780372.000,5836,2,RD,1,100,TU
1574868480.118565,782926.000,6732,2,RD,1,100,TL
1574868483.155728,785480.000,6732,2,RD,1,100,TU
1574868486.192892,788034.000,7628,2,RD,1,100,TL
1574868489.230055,790588.000,7628,2,RD,1,100,TU
1574868492.267219,793142.000,8524,2,RD,1,100,TL
1574868495.304382,795696.000,8524,2,RD,1,100,TU
1574868498.341546,798250.000,9422,2,RD,1,100,TL
1574868501.378709,800804.000,9422,2,RD,1,100,TU
1574868504.415873,803358.000,10318,2,RD,1,100,TL
1574868507.453036,805912.000,10318,2,RD,1,100,TU
1574868510.490200,808466.000,11214,2,RD,1,100,TL
1574868513.527363,811020.000,11214,2,RD,1,100,TU
1574868516.564526,813574.000,12111,2,RD,1,100,TL
1574868519.601690,816128.000,12111,2,RD,1,100,TU
1574868522.838041,818849.500,12547,2,RD,1,100,TL
1574868526.074392,821571.000,12547,2,RD,1,100,TU
1574868530.344139,825161.500,12610,2,RD,1,100,TL
1574868534.613887,828752.000,12610,2,RD,1,100,TU
1574868537.674834,831326.000,13134,2,RD,1,100,TL
1574868540.735781,833900.000,13134,2,RD,1,100,TU
1574868543.772350,836453.500,14030,2,RD,1,100,TL
1574868546.808919,839007.000,14030,2,RD,1,100,TU
1574868549.846082,841561.000,14926,2,RD,1,100,TL
1574868552.883246,844115.000,14926,2,RD,1,100,TU
1574868555.920409,846669.000,15822,2,RD,1,100,TL
1574868558.957573,849223.000,15822,2,RD,1,100,TU
