EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1575568688.015530,40334.333,6508,3,PR,1,100,179353
1575568688.056765,40369.000,6508,3,PR,1,100,179338
1575568688.104939,40409.500,6525,2,PR,1,100,179348
1575568688.153113,40450.000,6525,2,PR,1,100,179332
1575568688.189095,40480.250,6543,4,PR,1,100,179318
1575568688.225077,40510.500,6543,4,PR,1,100,179286
1575568688.261059,40540.750,6543,4,PR,1,100,179285
1575568688.297040,40571.000,6543,4,PR,1,100,179328
1575568688.335104,40603.000,6561,3,PR,1,100,179385
1575568688.373167,40635.000,6561,3,PR,1,100,179401
1575568688.411231,40667.000,6561,3,PR,1,100,179403
1575568688.452862,40702.000,6577,3,PR,1,100,179408
1575568688.494494,40737.000,6577,3,PR,1,100,179438
1575568688.536126,40772.000,6577,3,PR,1,100,179446
1575568688.576965,40806.333,6595,3,PR,1,100,179251
1575568688.617804,40840.667,6595,3,PR,1,100,179091
1575568688.658643,40875.000,6595,3,PR,1,100,179042
1575568688.699085,40909.000,6613,3,PR,1,100,179011
1575568688.739527,40943.000,6613,3,PR,1,100,178981
1575568688.779970,40977.000,6613,3,PR,1,100,178961
1575568688.818033,41009.000,6631,3,PR,1,100,178928
1575568688.856097,41041.000,6631,3,PR,1,100,178920
1575568688.894160,41073.000,6631,3,PR,1,100,178907
1575568688.931827,41104.667,6650,3,PR,1,100,178905
1575568688.969494,41136.333,6650,3,PR,1,100,178922
1575568689.007160,41168.000,6650,3,PR,1,100,178913
1575568689.049189,41203.333,6668,3,PR,1,100,178947
1575568689.091217,41238.667,6668,3,PR,1,100,179015
1575568689.133245,41274.000,6668,3,PR,1,100,179049
1575568689.172102,41306.667,6686,3,PR,1,100,179029
1575568689.210958,41339.333,6686,3,PR,1,100,179076
1575568689.249815,41372.000,6686,3,PR,1,100,179124
1575568689.291446,41407.000,6704,3,PR,1,100,179024
1575568689.333078,41442.000,6704,3,PR,1,100,178864
1575568689.374710,41477.000,6704,3,PR,1,100,178790
1575568689.415946,41511.667,6721,3,PR,1,100,178793
1575568689.457181,41546.333,6721,3,PR,1,100,178814
1575568689.498416,41581.000,6721,3,PR,1,100,178819
1575568689.540048,41616.000,6739,3,PR,1,100,178826
1575568689.581680,41651.000,6739,3,PR,1,100,178855
1575568689.623312,41686.000,6739,3,PR,1,100,178820
1575568689.660979,41717.667,6755,3,PR,1,100,178873
1575568689.698645,41749.333,6755,3,PR,1,100,178950
1575568689.736312,41781.000,6755,3,PR,1,100,178987
1575568689.775169,41813.667,6773,3,PR,1,100,179037
1575568689.814025,41846.333,6773,3,PR,1,100,179040
1575568689.852881,41879.000,6773,3,PR,1,100,179098
1575568689.893720,41913.333,6792,3,PR,1,100,179120
1575568689.934559,41947.667,6792,3,PR,1,100,179236
1575568689.975398,41982.000,6792,3,PR,1,100,179333
1575568690.016633,42016.667,6810,3,PR,1,100,179224
1575568690.057869,42051.333,6810,3,PR,1,100,179071
1575568690.099104,42086.000,6810,3,PR,1,100,179027
1575568690.141132,42121.333,6828,3,PR,1,100,179077
1575568690.183161,42156.667,6828,3,PR,1,100,179105
1575568690.225189,42192.000,6828,3,PR,1,100,179144
1575568690.262856,42223.667,6846,3,PR,1,100,179171
1575568690.300523,42255.333,6846,3,PR,1,100,179178
1575568690.338190,42287.000,6846,3,PR,1,100,179191
1575568690.376253,42319.000,6864,3,PR,1,100,179207
1575568690.414317,42351.000,6864,3,PR,1,100,179255
1575568690.452380,42383.000,6864,3,PR,1,100,179301
